,Tweets
0,b'RT @licit_tech: Apple said it won\xe2\x80\x99t let the Parler app back into its App Store https://t.co/5d8vkpadq2 #Apple #AppleDailyENG #APPLEMYBELOVE\xe2\x80\xa6'
1,b'Apple said it won\xe2\x80\x99t let the Parler app back into its App Store https://t.co/5d8vkpadq2 #Apple #AppleDailyENG #APPLEMYBELOVED #AppleMusic #AppleEDUchat #appleinternal #ApplePencil #Parler #parlerdown #CyberSecurity #CyberSec #cybersecuritynews #India #England #Nigeria #Kenya'
2,b'I\xe2\x80\x99m always so pleasantly surprised when free choice days are some of the most creative times for my MS students! #ipad #edtech @CoSpaces_Edu @scratch #AppleEDUchat https://t.co/dXxdUcYj3Q'
3,b'Anyone else using Google Classroom (latest update 2.2021.06208) having difficulties on iPad? Seems to be anyone using this version on iPad 8th Generation are seeing a \xe2\x80\x98black screen\xe2\x80\x99 when it comes to marking pupil work #AppleEDUchat'
4,"b'This interview of Seth Godin by @kellycroy is fantastic. Seth shares great reasoning for rethinking grading, assessment, and instruction. Kelly offers advice for applying the information. @WiredEducator #AppleEDUchat #AppleEDULeaderChat #AppleTeacher https://t.co/oMwvz32xxV'"
5,b'RT @aliciabankhofer: @JacobWoolcock Hey Jacob! Thanks so much for your sunrise/sunset tutorial. Used it for a lesson today! You have AGAIN\xe2\x80\xa6'
6,"b'I want to assert myself not only by seeing, hearing, saying, but also by acting.\n\n#\xe7\x84\xa1\xe5\x8d\xb0\xe8\x89\xaf\xe5\x93\x81\n#OpenMUJI\n#\xe3\x81\x8f\xe3\x82\x89\xe3\x81\x97\xe3\x81\xae\xe7\xbe\x8e\xe8\xa1\x93\xe9\xa4\xa8\n#\xe9\x81\xa0\xe9\x9a\x94\xe3\x81\xae\xe5\x85\xb1\xe5\x89\xb5\n#\xe5\xa5\x89\xe7\xb4\x8d\xe7\x94\xbb\xe3\x83\x97\xe3\x83\xad\xe3\x82\xb8\xe3\x82\xa7\xe3\x82\xaf\xe3\x83\x88\n#\xe7\xb4\x99\xe8\xa2\x8b\xe7\xb5\xb5\xe5\xb7\xbb\xe3\x83\x97\xe3\x83\xad\xe3\x82\xb8\xe3\x82\xa7\xe3\x82\xaf\xe3\x83\x88\n#STEAM\xe6\x95\x99\xe8\x82\xb2\n#ADE2021\n#AppleDistinguishedSchools\n#AppleEduChat\n#\xe7\x9f\xa5\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8b\xe3\x82\x89\xe5\xa7\x8b\xe3\x81\xbe\xe3\x82\x8b\n#\xe3\x81\x9d\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8c\xe5\xa4\xa7\xe4\xba\x8b'"
7,"b""#TeacherTwitter \xe2\x80\x93 what creative ways did you celebrate and explore International Women's Day with your students this week? \n\n#AppleEDUChat #IWD2021"""
8,"b""It's great to have @MissPABrown, @DarkuFabian, @ElliotFndtn, @morgan_w_teach, @daniell31783356, @A_mcgeeney, @teachersparkly and @M_ColeDXB as our new followers. \n\n@N_O_P_A hope you're enjoying using Kaligo and thanks for following us!\n\n#edtech #edutwitter #AppleEDUchat https://t.co/WD5BgyHsxv"""
9,b'The latest episode of The Sixty Second Scoop features my favorite keyboard shortcuts for MacOS.  #innovate135 @AppleEDU #AppleEDUchat\nhttps://t.co/RswL8YDg37'
