,Tweets
0,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
1,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
2,b'@motorolaindia moto g10 Power price - 12999 /- \nmoto g30 price - 14999 /- \n\n#motog10power #motog30 \n#PowerfulAllRounder #SolidAllRounder  #GuessThePrice #AsliAllRounders #Contest @motorolaindia \n\n@naturesyco\n@RuchikaJain89 @desichipakli @GauravP26479152 @cuteushakumari'
3,b'@motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 14990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@motorolaindia \n\n@RuchikaJain89 @desichipakli @GauravP26479152 @cuteushakumari @sweetynsalt'
4,b'New Video - Moto G10 Power and Moto G30 \xe2\x9a\xa1 Full Specifications..\n.\n@Moto \n.\n#MotoG10Power #Techgroom #MotoG30\n.\nhttps://t.co/8GHABskPyq via @YouTubeIndia'
5,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
6,b'RT @LokmaniDixiT95: @motorolaindia \xf0\x9f\x93\xb1 Moto G10 power: \xe2\x82\xb99990\n\xf0\x9f\x93\xb1 Moto G30: \xe2\x82\xb9 14990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog\xe2\x80\xa6'
7,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
8,b'RT @TechFactsRafee: #motog10power  &amp; #MotoG30 Prices https://t.co/1BiRBgLpXk'
9,"b'RT @motorolaindia: Feel the freedom to explore more with a powerful 6000 mAh Battery that lasts up to 67 hours* on a single charge, quite l\xe2\x80\xa6'"
10,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
11,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
12,"b'RT @Pooja_bhatii: @motorolaindia For Moto G10Power price should be \xe2\x82\xb914,990/- \nFor Moto G30 price should be \xe2\x82\xb915,990/-\n#motog10power #MotoG30\xe2\x80\xa6'"
13,"b'RT @Pooja_bhatii: @motorolaindia For Moto G10Power price should be \xe2\x82\xb914,990/- \nFor Moto G30 price should be \xe2\x82\xb915,990/-\n#motog10power #MotoG30\xe2\x80\xa6'"
14,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
15,b'@motorolaindia \xf0\x9f\x93\xb1 Moto G10 power: \xe2\x82\xb99990\n\xf0\x9f\x93\xb1 Moto G30: \xe2\x82\xb9 14990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n@motorolaindia \n\n@KDivya18740584 @Gayathrimohan_ @mysterioussu'
16,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
17,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
18,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
19,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
20,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
21,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
22,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
23,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
24,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
25,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
26,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
27,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
28,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
29,b'RT @motorolaindia: Say hello to non-stop entertainment and forget about charging your smartphone for up to 67 hours* as the #motog10power\xe2\x80\x99s\xe2\x80\xa6'
