,Tweets
0,b'Life\xe2\x80\x99s full of epic moments. Never miss a single one of them with the new #GalaxyS215G and its revolutionary features. Available Now. {https://t.co/4yidJ1Vq7X}\n\n#s21 #S21Plus #S21Ultra #s21epicmoments #s21nationalepicday #GalaxyS21 #SimsRevolution #smartphone #CurfewForMen'
1,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
2,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
3,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
4,"b'RT @SamsungMobile: Can your phone capture all the amazing photos, videos, close-ups and angles with a single click? If not, it\xe2\x80\x99s time to up\xe2\x80\xa6'"
5,"b'I\xe2\x80\x99m a dreamer, my head\xe2\x80\x99s in the clouds, I think I might need to #GalaxyTagMyself when my daydreams run away with me \xef\x81\x8a. #SmartTagYoureIt, tell @SamsungMobileSA what you\xe2\x80\x99d tag 1st, enter into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply'"
6,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
7,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
8,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
9,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
10,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
11,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
12,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
13,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
