,Tweets,TBpolarity,Sentiment_type
0, full of epic moments Never miss a single one of them with the new  and its revolutionary features Availa Now       SimsRevolution smartphone CurfewForMen,0.12873376623376623,POSITIVE
1,  Capture epic moments at the palm of your hands GalaxyxBTSnnGet the  Ultra  now  ,0.1,POSITIVE
4,  Can your phone capture all the amazing photos videos closeups and angles with a single click If not  time to ,0.26428571428571435,POSITIVE
5, a dreamer my  in the clouds I think I might need to GalaxyTagMyself when my daydreams run away with me  SmartTagYoureIt tell  what  tag  enter into the draw to WIN a  Smart Tag and Buds pro TsampCs apply,0.5071428571428571,POSITIVE
9, feeling when  late amp you  find your keys  why I chose GalaxyTagMyKeys SmartTagYoureIt tell  what you would tag  amp  entered into the draw to WIN a  Smart Tag amp Buds pro Ts amp Cs apply,0.2380952380952381,POSITIVE
17, find my car in parking lot  UtterPanic With the GalaxySmartTag I could tag my car amp find it calmly SmartTagYoureIt tell  what your  reaction is amp enter the draw to WIN a  Smart Tag amp Buds pro TsampCs apply,0.4380952380952381,POSITIVE
26,   no such thing as too much zoom Upgrade to epic zoom with the new  Ultra  zoom  you ,0.1090909090909091,POSITIVE
28,    Im   the Single Take Camera feature on  with just one shutter I can ,-0.07142857142857142,NEGATIVE
30,      I love the  Single Take camera feature  it ena me to ,0.2142857142857143,POSITIVE
31, your own unique style  wavy flower nnplantsofinstagram ExploreWithNatGeo  withGalaxy wheretheskymeetstheland  httpstcoxhJxJwtxTE,0.4875,POSITIVE
33,     entered into the draw to WIN a  Smart Tag and Buds pro  Ts amp Cs applynn The ,0.5071428571428571,POSITIVE
35,   easy to record now amp snap later with the new  Ultra  amp its  Video Snap feature Screenshot the ,0.1898989898989899,POSITIVE
38,   all in the details Literally Upgrade to epic details with a  camera of the new  Ultra that ,0.11818181818181818,POSITIVE
39,  Not  that  find your car in the parking  With the GalaxySmartTag  find it so quickly amp setting it up ,0.3333333333333333,POSITIVE
46, a lot on my mind so I chose MemorizeMySpot With the GalaxySmartTag I have  less thing to worry a SmartTagYoureIt tell  what your  reaction is amp enter the draw to WIN a  Smart Tag and Buds pro TsampCs apply Tweet MemorizeMySpot,0.2825396825396826,POSITIVE
48,  Create shareready GIFs videos and stories in a single take with the new  Ultra ,0.032467532467532464,POSITIVE
59,  The GalaxySmartTag lets you find whatever  attached to  giving you a chance to WIN a  ,0.8,POSITIVE
60,  The newest Samsung phone  the fast relia secure network of  Thats one heck of a com  how ,0.30000000000000004,POSITIVE
61,    I love the purple looknWhich one you like n nPre  ,0.5,POSITIVE
62,  Only Samsung  can capture with  results nPre  n ,0.0,NEUTRAL 
65,  Want to win a  Series  with   Simply tell us  your favourite feature Click here to ,0.4,POSITIVE
66,  My favorite feature thee camera It is epic in every way designed with a unique contour cut camera to create a revolution in photography letting me capture cinematic  video and snap epic stills with  MP main camera Life is epic  ,0.19166666666666668,POSITIVE
70,    Heres is my perfect screenshot Dear  Team    ,1.0,POSITIVE
71,   Heres is my perfect screenshot Dear  Team     ,1.0,POSITIVE
78,  Epic uncovered Presenting the firstever covershot snapped straight out of  video   Ultra,0.15000000000000002,POSITIVE
81, must have phone for a perfect style statement and ,1.0,POSITIVE
82, magnificent click    httpstcoYVfSqReuCv,1.0,POSITIVE
83,  ena with  technology this time ,0.0,NEUTRAL 
84, comes   ,0.0,NEUTRAL 
89, offers you smart editing with intelligent camera ,0.37142857142857144,POSITIVE
93,  Best wishes  share ,1.0,POSITIVE
97, your moments with    httpstcoRNlRBRluDJ,0.0,NEUTRAL 
98, newest Samsung phone  the fast relia secure network of  Thats one heck of a com  how you can get the   for free yes free with tradein at  ,0.35,POSITIVE
99, The worth  smartphone of the ,0.3,POSITIVE
102,  LIKE and  TGFamilynLove you Guys ,0.0,NEUTRAL 
107, a lot on my mind so I chose MemorizeMySpot With the GalaxySmartTag I have  less thing to worry a SmartTagYoureIt tell  what your  reaction is amp enter the draw to WIN a  Smart Tag and Buds pro TsampCs apply,0.2825396825396826,POSITIVE
109,  My favorite feature is Camera a good quality Camera is what I need especially now that Im pregnant I will take  pictures of my    ,0.3833333333333333,POSITIVE
110,    NGTIndia  Samsung  smartphone in the world Samsung  in the  Awesome Samsung ,1.0,POSITIVE
129, features of Samsung  ,0.0,NEUTRAL 
130,   Video snap  ,0.0,NEUTRAL 
131,  is also  for Gaming Never drops  ,0.0,NEUTRAL 
132, order Samsung  now and get Galaxy Buds for FreenPre order now on  ,0.0,NEUTRAL 
141, Samsung  can capture with  results nPre  n httpstcoiIQZxsSIyP httpstcofHomHlpOmF,0.0,NEUTRAL 
144,  I love the purple looknWhich one you like n nPre  ,0.5,POSITIVE
145,    Here is my entry   ContestAlert UncoverTheEpic ,0.0,NEUTRAL 
146,  Here is my entry   ContestAlert UncoverTheEpic Samsungn   ,0.0,NEUTRAL 
149,  Wanna win the EPIC  on  post  with your fave  feature amp just like ,0.45,POSITIVE
151, uncovered Presenting the firstever covershot snapped straight out of  video   Ultra httpstcoODeaHILmsq,0.2,POSITIVE
159, series is ena with  technology this time ,0.0,NEUTRAL 
160, its large  display the Galaxy  is supposed to particularly attract gamers and fans of the series  ,0.19047619047619047,POSITIVE
161, Galaxy  includes Android  with Samsungs OneUI  user interface Currently the highend smartphone is updated ,0.0,NEUTRAL 
168, News this morning for you folks that love a lot of data  Get a hold of us quickly at any of our  locations  this    BreakingNews   ,0.41666666666666663,POSITIVE
170, epic moments of your life with a single click  yours on nhttpstcoNlcoNPInnG ,0.01428571428571429,POSITIVE
173, which strengthens your  yours on nhttpstcoNlcoNPInnG ,0.0,NEUTRAL 
174, always so sure where I parked  mostly I have to LookForAnHour A GalaxySmartTag would save so much time SmartTagYoureIt tell  what your  reaction is amp enter the draw to WIN a  Smart Tag amp Buds pro TsampCs apply,0.4428571428571429,POSITIVE
178, Expect to win ,0.8,POSITIVE
180,  Hello   Smartphones for  LIKEn RT with  n Follow  n ,0.0,NEUTRAL 
187, your phone capture all the amazing photos videos closeups and angles with a single click If not  time to upgrade to capturing more epic moments with the new  and never miss anything amazing againnnLearn more  ,0.33784786641929504,POSITIVE
188, the perfect moment from video with  on  and Galaxy  Plus ,1.0,POSITIVE
189, epic moments of your life with a single clicknGet the  Ultra  now  ,0.01428571428571429,POSITIVE
199,  Want to hold the everyday EPIC in your hands  giving you a chance to WIN one all you have to do is RT using ,0.23333333333333336,POSITIVE
200,  Photo or video Choose  and create shareready GIFs videos and stories in a single take with the new  ,0.032467532467532464,POSITIVE
201,    Heres my perfect screenshot   nContestAlert ,1.0,POSITIVE
203,   nCr      SHOU   COLORFUL   TAIWANnCHINGGSQUAD TAIWANRAPPERnArtist Rapper ,0.3,POSITIVE
247, avail amazing Value  Purchase online your fav  device nnTo shop online ,0.6000000000000001,POSITIVE
251, the precise tip of SPen you can easily  edit amp finetune the frames of your latest  nnTo Purchase online ,0.4444444444444445,POSITIVE
257,  Screenshot  ,0.0,NEUTRAL 
276, for the epic detailed photography   nhttpstcofOpDimscTinnTo Order online ,0.25,POSITIVE
287,  Introducing the new   and  Plus  made for the Epic in Everyday Upgrade at  and get ,0.012121212121212116,POSITIVE
295, Yes Its amazing ,0.6000000000000001,POSITIVE
296, This much discount Wow ,0.15000000000000002,POSITIVE
297, Wow The camera result is great ,0.45,POSITIVE
313,  Heres my perfect screenshot   nContestAlert UncoverTheEpic Samsung nTagnn n n nnnn n n n ,1.0,POSITIVE
321,   SamsungMo the spen compati is my fav,0.0,NEUTRAL 
324, forget the epic zoom of ,0.1,POSITIVE
325, We are planning to go May in April this year Lets see ta tak  ata k nahi ,0.0,NEUTRAL 
326, a dreamer my  in the clouds I think I might need to GalaxyTagMyself when my daydreams run away with me  SmartTagYoureIt tell  what  tag  enter into the draw to WIN a  Smart Tag and Buds pro TsampCs apply   I have memory loss,0.5071428571428571,POSITIVE
333,  Thank you to  Editor in Chief  The  is indeed advanced and  ,0.4,POSITIVE
336, Galaxy week you can get amazing offers such as  off on screen replacement ,0.23333333333333336,POSITIVE
337,  Spaceship Pillow Sham   off Today nAccessories  Homeoftheyear homedesigns ,-0.2,NEGATIVE
343,    Heres my perfect screenshot  nDear Team   ,1.0,POSITIVE
344, must have phone for a perfect style statement and  ,1.0,POSITIVE
346, is there to compliment your  ,0.0,NEUTRAL 
347, the most amazing features including smart tag you gotta   series ,0.4380952380952381,POSITIVE
348, the camera  ,0.0,NEUTRAL 
354, the  httpstcoZWiWydtdFf,0.0,NEUTRAL 
358, at the captivating clicks    ,0.5,POSITIVE
363, Just wow ,0.1,POSITIVE
364, Its awesome ,1.0,POSITIVE
365, Exactly ,0.25,POSITIVE
427,    UncoverTheEpic Samsungn ,0.0,NEUTRAL 
429,  Heres my perfect screenshot nn   UncoverTheEpic Samsung ContestAlertnn ,1.0,POSITIVE
435, my perfect   UncoverTheEpicnSamsung ContestAlert nn  ,1.0,POSITIVE
436,  Heres my perfect   UncoverTheEpicnSamsung ContestAlert nn ,1.0,POSITIVE
444, dog is fam  can get into some tricky  I chose GalaxyTagMyDog to find them whatever they get up to SmartTagYoureIt tell  what  tag  enter the draw to WIN a  Smart Tag amp Buds pro TsampCs apply,0.5071428571428571,POSITIVE
501, Well its not a  dealnIll just use the GalaxySmartTag and  Im in my carnnIts simple as thatwith Samsung galaxy smart tag everything is made easyyy nGalaxySmartTag  nSamsungMo,0.10714285714285714,POSITIVE
515, easy on the eyes  in more ways than  keeps your eyes happy with an adaptive  display and  management Learn more  ,0.5583333333333333,POSITIVE
517,  Win A Samsung Galaxy  With Android Headlines  US Giveaway    giveaway,0.8,POSITIVE
518,  All you need to create an epic film Passion   and a phone to  its passion to lifennLearn more a the ,0.3,POSITIVE
520, now to win a Samsung Galaxy  smartphone httpstconYixsExVad  samsung  ,0.8,POSITIVE
533, feeling when  late amp you  find your keys  why I chose GalaxyTagMyKeys SmartTagYoureIt tell  what you would tag  amp  entered into the draw to WIN a  Smart Tag amp Buds pro Ts amp Cs applynIll tag my  thy get lst izili,0.2380952380952381,POSITIVE
536,   life is good     Samsung httpstcoqucaxaFpJx,0.7,POSITIVE
569,  The camera  ,0.0,NEUTRAL 
580,      the camera ,0.0,NEUTRAL 
597, A Samsung Galaxy  With Android Headlines  US Giveaway    giveaway,0.0,NEUTRAL 
646,  My perfect screenshot   UncoverTheEpicn Samsungn ,1.0,POSITIVE
675,      UncoverTheEpic Samsungn ,0.0,NEUTRAL 
677,    UncoverTheEpic Samsungn httpstcoSOJlYw,0.0,NEUTRAL 
679,  PicOfTheDay FriendsgtgtgtgtgtgtgtgtnnIFPIGlo MamataAttackCharge MamataBanerjee ,0.0,NEUTRAL 
685,    Perfect     UncoverTheEpic Samsung   n ,1.0,POSITIVE
689,  Perfect     UncoverTheEpic Samsung   n ,1.0,POSITIVE
697,    So heres my perfect screenshot of the covershot snapped from the outstanding   ,0.75,POSITIVE
699,  So heres my perfect screenshot of the covershot snapped from the outstanding     UncoverTheEpic Samsung ContestAlertnn httpstcoFsckCDpouB,0.75,POSITIVE
725,  Ready to check out the new  Ultra  Weve setup a showroom so you can find your GalaxynnLETS DO IT ,0.16818181818181818,POSITIVE
729, zoom   httpstcoYWZNFchWNZ,0.0,NEUTRAL 
736, feeling when  late amp you  find your keys  why I chose GalaxyTagMyKeys SmartTagYoureIt tell  what you would tag  amp  entered into the draw to WIN a  Smart Tag amp Buds pro Ts amp Cs  key ,0.17857142857142858,POSITIVE
762,  Epic uncovered Presenting the firstever  covershot snapped straight out of  video captured  explorer ,0.15000000000000002,POSITIVE
763,  Record your everyday EPIC moments with  Video from  Series  and snap it later to get high quality photos ,0.015,POSITIVE
785,     nUncoverTheEpic  nYes perfectly screenshot ,1.0,POSITIVE
788,    Below is my required screenshot   nContestAlert ,0.0,NEUTRAL 
790,  Below is my required screenshot   nContestAlert UncoverTheEpicn  httpstcoESsTctGvvA,0.0,NEUTRAL 
801,    Here is my Perfect   nContestAlert ,1.0,POSITIVE
802,  Here is my Perfect   nContestAlert UncoverTheEpic Samsung ,1.0,POSITIVE
805,    Below is my required screenshot   n  nContestAlert ,0.0,NEUTRAL 
808,  Below is my required screenshot   n  nContestAlert UncoverTheEpicn  httpstcoESsTctGvvA,0.0,NEUTRAL 
819,     entered into the draw to WIN a  Smart Tag and Buds pro  Ts amp Cs applynn ,0.5071428571428571,POSITIVE
830,  Designed to  epic in every way with a revolutionary camera experience and powerful performancenIntroducing the new ,0.1787878787878788,POSITIVE
849,  Im   the Single Take Camera feature on  with just one shutter I can get multiple photos in a second while recording videos in  n nNow thats my   ,-0.023809523809523808,NEGATIVE
877,  Smartphones For You  Epic   via ,0.1,POSITIVE
894, I love the  Single Take camera feature  it ena me to capture  photos per second and videos analysed  AI using all  Cams It maximise my chances of getting even una shots of live show or moving performance so I can pick  moments httpstcoulFXQzzpVh ,0.14123376623376624,POSITIVE
921, A Samsung Galaxy  With Android Headlines  httpstcomKITFhNtQS  google samsung  ,0.0,NEUTRAL 
927, Knox Vault keeps your  authentication data under wraps And the larger Ultrasonic Fingerprint sensor improves latency and dry finger recognition for fast accurate unlocking ,0.13333333333333336,POSITIVE
929,    I love the  Single Take camera feature  it ena me to capture  photos per second and videos analysed  AI using all  Cams It maximise my chances of getting even una shots of live show or moving performance so I can pick  moments httpstcoFlGtdVTpqT,0.14123376623376624,POSITIVE
933,  Fingers crossed ,0.0,NEUTRAL 
939, Knox security platform delivers a high level of security protecting your phone from the chip up and giving you more confidence in your data and app permissions ,0.33,POSITIVE
957,  My favorite feature is the gorilla glass victus which delivers scratchampdamage resistance  in the medical field I always have to have my phone on hand I tend to always crack my screen this would  perfect for me no more oh no moments    Sponsored,0.3125,POSITIVE
984, BATTERY of  power has outdone itself ,0.0,NEUTRAL 
998,  Perfect Screenshot   UncoverTheEpicnSamsung ContestAlert n     nJoin n       n n ,1.0,POSITIVE
1004,  Discover more with the new Samsung Galaxy  series that makes everyday extraordinary nnClick to learn more  ,0.2539393939393939,POSITIVE
1007, It happen to me weekend  I just tried to figure where I had parked and I remem a taxi near meoups people was looking at me  I just walked calmly around looking for my car until I found it at suncoast GalaxySmartTag   SmartTagYoureIt  GalaxyBudsPro,0.2,POSITIVE
1041, opinion Samsung  The  phone among all ,0.0,NEUTRAL 
1062, Amazaing offer Samsung  ,0.0,NEUTRAL 
1064,  Now have prolevel control on your shots with the Directors View on the new  Series  Tell us which moment ,0.13636363636363635,POSITIVE
1074, Memorize your packing using  nGalaxySmartTag  GalaxyBudsPro SmartTagYoureItnTry to recall where I parked,0.0,NEUTRAL 
1078,   favorite feature would definitely  the   life on this wonderful device Since the loadshedding notice this would really come in handy when days are dark and there is nothing to do,0.35833333333333334,POSITIVE
1091,     Hi definitely the front camera  pics always  httpstcoLcOTLAouCO,0.0,NEUTRAL 
1097,     Hi definitely the front camera  pics always  ,0.0,NEUTRAL 
1123,  also offers a   feature that steadies zoomedin images and reduces camera shake  SamsungUnpacked ,0.1,POSITIVE
1124, Galaxy  FE Fan Edition  un look and featuresnnhttpstcokOFcXRNIBwnnSamsung    Un Features FanEdition FE,0.0,NEUTRAL 
1131,     Hi definitely the front camera  pics always ,0.0,NEUTRAL 
1133,  comes with a lot of neat new features too like  video  now lets users take high resolution stills from  night mode with  noise reduction  SamsungUnpacked ,0.1481818181818182,POSITIVE
1134, Galaxy  FE Fan Edition  un look and featuresnnhttpstcoHmlwXgNo    Un Features FanEdition FE,0.0,NEUTRAL 
1140,  sensors on the  of  Ultra including a  ultra wide  wide  periscope telephoto with  optical zoom and a  telephoto with  optical zoom  SamsungUnpacked ,-0.1,NEGATIVE
1147, are fresh upgrades in Samsung Galaxt  Ulta that feel appropriate for the  moniker  SamsungUnpacked ,0.4,POSITIVE
1154,  My favorite features are a  zoom camera I will capture every moments pictures amp  videos from a distance I mean who needs a photographer when you have a  A smartphone that allows you to capture from all angles   ,0.09375,POSITIVE
1158, Heres is my perfect screenshot Dear  Team     ContestAlert UncoverTheEpic Samsung nnWish to win  ,0.9,POSITIVE
1160,    Smartphones For You  Epic  via   ,0.1,POSITIVE
1168,  Capture amazing memories with just a tap whenever wherevernnGet the  Ultra  now  ,0.6000000000000001,POSITIVE
1187, to  Epic in every way  ,0.1,POSITIVE
1194,  My favourite feature is the  It outlasts you the whole day The   is the   ,0.2,POSITIVE
1204, win the EPIC  on  post  with your fave  feature amp just like that you could WIN nnBest of luck faves  MM ,0.5666666666666668,POSITIVE
1215,  Heres my perfect screenshot team    UncoverTheEpic Samsung ContestAlertn nJoin     ,1.0,POSITIVE
1261,  Heres my perfect screenshot nn   UncoverTheEpic Samsung ContestAlertn  ,1.0,POSITIVE
1279, Go look for my car at the store i was at trash cans too   SmartTagYoureIt  galaxysmarttag ,0.0,NEUTRAL 
1289,  timing is great and the speed of phone is amazing It wont hang like other phones Order  Ultra now from ,0.42500000000000004,POSITIVE
1290, is  than anyother smart phone The camera quality is so amazing that you wont  needing any other camera  Ultra is a  Shop from ,0.2297619047619048,POSITIVE
1291, Ultra is a quality phone and  ever  samsung Pre order now from  youll  amazed  features ,0.0,NEUTRAL 
1301, Cant find my car in parking UtterPanic It happened to me once I was in panic mode until I told myself to calm down Thats when I remem where I entered the mall which was very close to my car amp found it nGalaxySmartTag  nSmartTagYoureIt n httpstcotVwiHvJAqN,0.11481481481481481,POSITIVE
1331,  THAT feeling when  late amp you  find your keys  why I chose GalaxyTagMyKeys SmartTagYoureIt tell ,-0.3,NEGATIVE
1347, A Samsung Galaxy  With Android Headlines  httpstcoV  google samsung  ,0.0,NEUTRAL 
1365, you to  Editor in Chief  The  is indeed advanced and    ,0.4,POSITIVE
1366,   Space zoom lets you  all the epic action closer to you Smiling face with smiling eyes ,0.1,POSITIVE
1367, must say  Ultra is really an EPIC device Smiling face with heartshaped eyesRed heart,0.1,POSITIVE
1368,  has a  quadcamera setup with a  ultrawide  wideangle and dual  telephoto lens,0.0,NEUTRAL 
1372,  Heres My   UncoverTheEpic Samsungnn ,0.0,NEUTRAL 
1404, a dreamer my  in the clouds I think I might need to GalaxyTagMyself when my daydreams run away with me  SmartTagYoureIt tell  what  tag  enter into the draw to WIN a  Smart Tag and Buds pro TsampCs applynnGalaxyTagMyself,0.5071428571428571,POSITIVE
1420,  Samsung Galaxy  and  launch expected on March      ,-0.1,NEGATIVE
1421, Galaxy  and  launch expected on March      Samsung   cy Cy cy   USA India Nigeria RwotGain Kenya Canada Brazil,-0.1,NEGATIVE
1423, I need it seriously  my previous mo phone has crashed i cannot  a new i can share you photo of my cracked screened  nIf  come to me it will  your  giveaway,-0.015151515151515152,NEGATIVE
1424,  Capture  most epic moments in highres photos and cinemaquality  video with the new  ,0.24545454545454545,POSITIVE
1459, GalaxySmartTag GalaxyBudsPro  honestly to my phone as I often have to ask mum to call me so I can locate my phone,0.6,POSITIVE
1462,   Lakh intoxicant ta Drugs recovered from BJP leaders   ,0.0,NEUTRAL 
1483, A Samsung Galaxy  With Android Headlines    google samsung   sweepstakes,0.0,NEUTRAL 
1498,  This is really   VoiceOfMtKenya caratnights ZikokoQuiz   ,0.2,POSITIVE
1503, I will run around shouting didnt anyone see my car I will draw so much attention to myself so that I will have more people around me and they can all help me look for my car  Samsungmo SmartTagYoureIt GalaxySmartTag GalaxyBudsPro  ,0.35,POSITIVE
1546, my perfect screenshot   Samsungnn  ,1.0,POSITIVE
1548,  Heres my perfect screenshot   Samsungnn ,1.0,POSITIVE
1552, Capture epic moments at the palm of your hands GalaxyxBTSnnGet the  Ultra  now  ,0.1,POSITIVE
1558,      Video Snap Feature   nnTag ,0.0,NEUTRAL 
1559,    Video Snap Feature   nnTag Friends  ,0.0,NEUTRAL 
1591,    WILDLIFE   the cover will feature in the  ,0.0,NEUTRAL 
1611, Elegant Lines Blue  ThemennSamsung Galaxy      Samsung httpstcovcfSTPHqSW,0.25,POSITIVE
1615,   I Hope Win This GIVEAWAY   nnAll  nnTag Friends ,0.8,POSITIVE
1616, I will capture  Nature   SamsungIndianSamsung ,0.0,NEUTRAL 
1622,    Heres my perfect screenshot entry dear team Smiling face with heartshaped eyesnn ,1.0,POSITIVE
1626, WildlifennUncoverTheEpic     n,0.0,NEUTRAL 
1628,  Nat Geo explorer Prasen Yadav is on the lookout to UncoverTheEpic with  Ultra Stay tuned for the firstever ,0.0,NEUTRAL 
1685, I would attach it on my kid  GalaxyBudsPro  SmartTagYoureIt,0.0,NEUTRAL 
1747,  Its finally here Witness the EPIC Escape with  and   Tonight at  on our ,0.05,POSITIVE
1795, Pillow Sham   off Today nAccessories  Homeoftheyear homedesigns homedecoration  LaCafeteraConMOCIONES ArtistOnTwitter paintings superstraight OVNI     ,-0.2,NEGATIVE
