Title,Price,Stock,Descrption,Rating,Review,Brand
Canon PIXMA Printer CNN-E510,RM 309.00,Out Of Stock,"Print, Scan & Copy
Color Inkjet Printer
Resolution up to 4,800 x 1,200 dpi
449(W) x 304(D) x 152(H)mm
5.3kg",Not available,Not available,Canon
Canon Laser Shot CNN-LBP6030,RM 375.00,In Stock,"High speed print jobs
Low energy consumption
Sleep mode
Auto shut down feature
Requires adapter for power cable",Not available,Not available,Canon
SanDisk Ultra Flair USB 3.0 Flash Drive 32GB SD-CZ73-032G-G46,RM 31.00,Out Of Stock,"Capacity: 32 GB
Read Speed: up to 150 MB/s1
Generation: USB 3.0",Not available,Not available,SanDisk
Canon PIXMA All-in-One Printer CNN-E410,RM 239.00,Out Of Stock,"Print
Scan
Copy
All-In-One Printer
426(W) x 306(D) x 145(H)mm
3.4kg
Auto Power ON",Not available,Not available,Canon
SanDisk Ultra Dual Drive USB Type-C 32GB SD-DDC2-032G,RM 46.00,Out Of Stock,"Capacity: 32 GB
Read Speed: up to 150 MB/s
Interface: USB Type-C and USB Type-A connectors; USB 3.1 (Gen 1)",Not available,Not available,SanDisk
SanDisk Ultra Dual Drive USB Type-C 64GB SD-DDC2-064G,RM 70.00,Out Of Stock,"Capacity: 64 GB
Read Speed: up to 150 MB/s
Interface: USB Type-C and USB Type-A connectors; USB 3.1 (Gen 1)",Not available,Not available,SanDisk
Samsung 32GB EVO Plus microSD Card with SD Adapter SAM-MB-MC32GA/APC,RM 39.00,Out Of Stock,"For great quality photos and Full HD video recording
Up to 95MB/s read and 20MB/s write speeds
UHSI Speed Class 1 (U1), Class 10",Not available,Not available,Samsung
Samsung 64GB EVO Plus microSD Card with SD Adapter SAM-MB-MC64GA/APC,RM 59.00,Out Of Stock,"64GB EVO Plus microSD Card 100 MB/s with SD Adapter
Perfect for 4K UHD video recording & playback
Up to 100MB/s read and up to 90MB/s write speeds",Not available,Not available,Samsung
Apple USB-C to USB Adapter,RM 99.00,In Stock,Not available,Not available,Not available,Apple
Apple USB-C VGA Multiport Adapter,RM 349.00,In Stock,USB-C VGA Multiport Adapter,Not available,Not available,Apple
Microsoft Surface Mouse (Silver) MS-MIC-WS3-00005,RM 241.00,In Stock,"Bluetooth® 4.0
2.4 GHz frequency range
32.8 feet (10 meters) in open area and 16.4 feet (5 meters) in office environment
Microsoft Windows 10 / 8.1 / 8; Must be BT4.0 enabled
Up to 12 months battery life",Not available,Not available,Microsoft
SanDisk 32GB Ultra Fit™ USB 3.1 Flash Drive SDCZ430-032G-G46,RM 31.00,Out Of Stock,"Compact, plug-and-stay, high-speed
Ideal for adding more storage to laptops, game consoles, in-car audio
Read speeds up to 130MB/s
Write up to 15X faster than standard USB 2.0 drives
Move full-length movie to the drive in less than 30 seconds
SanDisk SecureAccess® software",Not available,Not available,SanDisk
Microsoft 365 Family MS-6GQ-01144,RM 368.00,In Stock,"Share with your entire family – for up to 6 people
For use on multiple PCs/Macs, tablets, and phones (including Windows, iOS, and Android*)
Premium versions of Word, Excel, PowerPoint and Outlook, plus Publisher and Access for PC only
1TB OneDrive cloud storage with advanced security per person
Collaborate on documents with others online",Not available,Not available,Microsoft
Rapoo Optical Mouse N1020 (Black),RM 19.00,In Stock,"Easy installation
1000 DPI tracking engine
Anti-slip scroll wheel
Full-size, ambidextrous design",Not available,Not available,Rapoo
MSI Gaming Head Set Immerse GH70 Mystic Light RGB,RM 549.00,Out Of Stock,"Hi-Res certification guarantees the highest sound quality
Enhanced Virtual 7.1 Surround Sound
Amazing LED Light Effect
Smart Audio Controller
Choose from millions of colors with RGB Mystic Light
Fine-tune detailed settings with Gaming Center
Comes fully geared up with all accessories and carry pouch in the box",Not available,Not available,MSI
MSI Clutch GM60 RGB Gaming Optical Mouse,RM 434.00,In Stock,Fully Customizable Look & Feel,Not available,Not available,MSI
Canon Pixma E470 Multifunction Wireless Printer,RM 329.00,Out Of Stock,"Lower Cost Cartridges
Mobile and Cloud Printing
Auto Power ON/OFF",Not available,Not available,Canon
Microsoft Surface Pen,RM 399.00,In Stock,"Compatible with:
Surface Pro 1, Surface Pro 4, Surface Pro 3, Surface 3
Barrel button and tail eraser
1 x AAAA battery (included)
Bluetooth 4.0",Not available,Not available,Microsoft
Microsoft Surface Pro 7,"RM 3,999.00 - RM 9,199.00",In Stock,"*We are Microsoft Authorized Reseller

Windows 10 Home
PixelSense Display
Intel Iris Plus Graphics
10th Gen Processor",Not available,Not available,Microsoft
Microsoft Surface Laptop 3,"RM 4,249.00 - RM 7,266.00",In Stock,*We are Microsoft Authorized Reseller,Not available,Not available,Microsoft
Microsoft Surface Pro X (Black) LTE Version,"RM 4,599.00 - RM 7,499.00",In Stock,"*We are Microsoft Authorized Reseller

Windows 10 Home
13” PixelSense™ Display
Microsoft Office 365 30-day trial
Microsoft® SQ1™ Adreno™ 685 GPU",Not available,Not available,Microsoft
Microsoft Surface Pro X Keyboard Black MIC-QJW-00015,RM 639.00,In Stock,"QWERTY Layout 
Full-row of function keys (F1 -F12)
Moving (mechanical) keys
Magnetic Interface",Not available,Not available,Microsoft
Microsoft Surface Pro X Keyboard + Slim Pen Black MIC-25O-00015,"RM 1,219.00",Out Of Stock,"Surface Pro X Compatible
Moving (mechanical) keys
QWERTY Layout
Full row of function keys (F1 -F12)
Surface Slim Pen storage and charging
Black Alcantara® Exterior",Not available,Not available,Microsoft
Microsoft Surface Arc Mouse,RM 339.00,In Stock,"Microsoft Windows 10/8.1
Bluetooth 4.0 or higher
2.4 GHz frequency range",Not available,Not available,Microsoft
Microsoft Surface Mobile Mouse,RM 187.00,In Stock,"Compatibility Window 8.1 & Window 10
2.4GHz Frequency Range
78g include 2 AAA alkaline batteries
1 year limited hardware warranty",Not available,Not available,Microsoft
Microsoft Surface Go Signature Type Cover,RM 420.00 - RM 578.00,In Stock,"QWERTY keyboard with full row of function keys (F1-F12)
Backlit keys
Windows key and dedicated buttons for media controls, screen brightness
1.0mm travel
Extra-large glass trackpad",Not available,Not available,Microsoft
Microsoft Surface Pro Signature Type Cover,RM 499.00 - RM 639.00,In Stock,"Supported platforms: Surface Pro 7, Surface Pro 3, Surface Pro 4, Surface Pro (5th Gen), and Surface Pro 6 devices
Dimensions: 11.60 x 8.54 x 0.20 in (295 x 217 x 5 mm)
Weight: 0.68 lbs (310 g)
Exterior Material: Alcantara for enhanced touch and feel on backside and palm rest area",Not available,Not available,Microsoft
Microsoft Surface Book 3,"RM 7,499.00 - RM 13,088.00",Out Of Stock,"*We are Microsoft Authorized Reseller

Performance Meet Versatility
Built For Performance
As Dynamic As You
Innovation In Every Detail
The Best Of Microsoft",Not available,Not available,Microsoft
HUAWEI WiFi AX3 (Quad-Core),RM 299.00,Out Of Stock,"Wifi 6
Fast And Wide Coverage
Quad-core Wi-Fi 6 Plus Revolution
3,000 Mbps
Huawei Share
Huawei HomeSec™",Not available,Not available,HUAWEI
HP ENVY x360 Laptop 13.3 Inch (8GB RAM/512GB SSD/AMD R5-4500U),"RM 3,699.00",Out Of Stock,"13.3-inch
8GB RAM
512GB SSD
AMD R5-4500U",Not available,Not available,HP
HP DeskJet Ink Advantage 2336 All-in-One Printer,RM 215.00,Out Of Stock,"Color
Print, copy, scan
1 Hi-Speed USB 2.0
Ink",Not available,Not available,HP
