Price_Range,Brand,count
tier_0k,HP,2
tier_0k,Logitech,2
tier_10k,Acer,1
tier_10k,Apple,1
tier_10k,Asus,1
tier_10k,HP,3
tier_10k,MSI,2
tier_10k,Microsoft,3
tier_14k,MSI,2
tier_14k,Apple,1
tier_20k,Asus,1
tier_20k,MSI,1
tier_2k,Microsoft,29
tier_2k,Targus,1
tier_2k,TP-Link,53
tier_2k,SanDisk,6
tier_2k,Samsung,7
tier_2k,Rapoo,1
tier_2k,Promate,3
tier_2k,MSI,25
tier_2k,HUAWEI,1
tier_2k,HP,9
tier_2k,Epson,2
tier_2k,Canon,7
tier_2k,Boomwave,3
tier_2k,Asus,2
tier_2k,Apple,6
tier_2k,Acer,2
tier_2k,Logitech,12
tier_6k,Microsoft,10
tier_6k,Mi,1
tier_6k,MSI,8
tier_6k,HUAWEI,5
tier_6k,HP,15
tier_6k,Apple,2
tier_6k,Dynabook,1
tier_6k,Asus,8
tier_6k,Acer,9
tier_6k,HONOR,2
tier_6k,Samsung,1
