,Product_Name,Price
0,Acer Predator Helios 300 ACE-PH317-55-76CR [Intel® Core™ i7-11800H / 16GB+512GB / NVIDIA® GeForce RTX™],"RM 7,999.00"
1,Acer Nitro 5 ACE-AN515-45-R7ND [AMD Ryzen 5 5600H / 8GB+512GB / NVIDIA® GeForce®],"RM 3,999.00"
2,[Pre-order] Microsoft Surface Laptop Studio (ETA: 8 March onwards),"RM 7,399.00 - RM 9,399.00"
3,"HP M24F 23.8"" FHD IPS Monitor",RM 629.00
4,Microsoft Surface Pro 7+,"RM 3,599.00 - RM 4,299.00"
5,Acer Aspire XC Series XC340-3250W10 [AMD Athlon Gold 3150U/4GB+256GB/AMD Radeon Graphics/W11/Wireless KBM/OPI],"RM 1,749.00"
6,TP-Link Deco X90 AX6600 Whole Home Mesh Wi-Fi System (2-Pack),"RM 1,499.00"
7,Acer Swift 3 ACE-SF314-511-76QE [Intel® Core i7-1165G7 / 16GB+512GB / Intel® Iris® Xe Graphics],"RM 4,399.00"
8,Acer Enduro Urban N3 ACE-EUN314A-51W-592A [Intel® CoreTM i5-1135G7 / 8GB+512GB / Intel® Iris® Xe Graphics],"RM 3,599.00"
9,Acer Aspire 3 ACE-A315-35-P6GU [Intel Pentium Silver N6000 / 4GB+512GB / Intel® UHD Graphics],"RM 2,099.00"
10,Microsoft Surface Pro Signature Keyboard with Slim Pen 2,"RM 1,099.00"
11,Microsoft Surface Slim Pen Charger,RM 139.00
12,Microsoft Surface Slim Pen 2,RM 499.00
13,Microsoft Surface Pro 8,"RM 4,950.00 - RM 9,101.00"
14,MSI 32 Inch Summit Monitor MS321UP,"RM 3,999.00"
15,MSI 27.9 Inch Optix Monitor MAG281URF,"RM 3,299.00"
16,Microsoft Surface Pro X 13-Inch - SQ1™ / 8GB RAM / 128GB / WiFi (Platinum),"RM 4,150.00"
17,ASUS Chromebook Flip C214 [Intel® Celeron® N4020 / 4GB+32GB / Intel® UHD Graphics 600],"RM 1,299.00"
18,MSI Force GC20 V2 Controller,RM 195.00
19,MSI Force GC30 V2 Wireless Controller,RM 259.00
20,ASUS A516E-AEJ810TS [Intel® Core™ i3-1115G4 / 4GB+256GB SSD / Intel® UHD Graphics],"RM 2,299.00"
21,MSI Vigor GK50 Elite Kailh Blue Gaming Keyboard,RM 369.00
22,MSI Clutch GM41 Lightweight Wireless Gaming Mouse,RM 385.00
23,Dynabook Satellite Pro C40-H201 [i3-1005G1 Processor / 4GB / 256GB / Intel® UHD],"RM 2,699.00"
24,MSI 27 Inch Modern Monitor MD271P,"RM 1,089.00 - RM 1,149.00"
25,MSI CLUTCH GM41 LIGHT WEIGHT Gaming Mouse,RM 189.00
26,HP Laptop 15S-DU1510TU [i3-10110U Processor / 8GB / 512GB SSD / Intel UHD],"RM 2,519.00"
27,MSI AGILITY GD20 Mousepad,RM 70.00
28,Microsoft Surface Go 24W Power Supply (KVG-00005),RM 222.00
29,MSI AGILITY GD70 Mousepad,RM 149.00
30,MSI Vigor GK20 Gaming Keyboard,RM 150.00
31,MSI VIGOR GK30 Gaming Keyboard and Gaming Mouse Combo,RM 259.00
32,MSI Gaming Headset Immerse GH20,RM 189.00
33,MSI Gaming Headset Immerse GH61,RM 529.00
34,MSI CLUTCH GM20 ELITE Gaming Mouse,RM 138.00
35,Canon PIXMA Printer MG3070S,RM 269.00
36,Canon PIXMA Printer G2010,RM 579.00
37,Microsoft Office Professional 2021 (Digital Download Delivery),"RM 1,799.00"
38,HUAWEI MateBook D14 (i5-10210U / 8 GB / 512GB SSD),"RM 3,299.00"
39,MSI MPG Trident A 11TC-2247MY i5-11400F,"RM 6,499.00"
40,MSI 31.5 Inch Optix Monitor G32CQ4,"RM 1,839.00"
