Tweet,Date,Time,User Name,Twitter Handle,Location,Followers Count,Following Count,Profile URL,Profile Image URL,Profile Banner URL,Account Creation Date,Retweet Count,Favorite Count,Reply Count,Hashtags,User Mentions,Media URLs,Tweet URL,Coordinates,Language,Source,Is Retweet,Is Quote Status,Quoted Status,In Reply To User,Place,Entities,Is Verified User,Is Retweeted,Is Favorited
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,22:47:07,Alan L. Stewart - unetomaterouge,unetomaterouge,,2397,5000,https://t.co/aTVCt0ic1X,http://pbs.twimg.com/profile_images/1358482726597193732/807HhyKe_normal.jpg,https://pbs.twimg.com/profile_banners/235708122/1586455403,2011-01-08,142,0,0,[],['money_rebellion'],[],https://twitter.com/unetomaterouge/status/1659692184394956800,,en,Twitter Web App,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
@LloydsBank up your game! https://t.co/Zzdj0Sw2cC,2023-05-19,22:39:53,🌈_temi_in_her_lane_🇳🇬,_B1GGLO_,,976,933,,http://pbs.twimg.com/profile_images/1508245428067872772/hQ6Blb6o_normal.jpg,https://pbs.twimg.com/profile_banners/1091006895651995650/1661892803,2019-01-31,0,0,0,[],['LloydsBank'],[],https://twitter.com/_B1GGLO_/status/1659690367858663424,,en,Twitter for iPhone,False,True,Nationwide giving me £100 just for banking with them. Look at GOD!,LloydsBank,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/Zzdj0Sw2cC', 'expanded_url': 'https://twitter.com/boofdaddi/status/1659531690191073282', 'display_url': 'twitter.com/boofdaddi/stat…', 'indices': [26, 49]}]}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,22:25:57,XR_Newport,XR_Newport,"Newport, Wales",1255,992,https://t.co/9I59OpOuDl,http://pbs.twimg.com/profile_images/1601706185899515904/xJKeSk7a_normal.jpg,https://pbs.twimg.com/profile_banners/1165066109487386624/1666691681,2019-08-24,142,0,0,[],['money_rebellion'],[],https://twitter.com/XR_Newport/status/1659686860925423616,,en,Twitter for iPhone,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"@DouglasRenshaw7 @XRebellionUK @LloydsBank How do you build wind turbines? Fossil fuels,they need oil to make them work &amp; they are hopeless! How do you get the cobalt out the ground for Lithium batteries used in electric cars? Fossil fuels &amp; child labour! The batteries can’t be disposed of &amp; leak toxins into the earth!",2023-05-19,21:43:37,Mary t cusick,Marytcusick2,,1251,2191,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2017-12-13,0,1,0,[],"['DouglasRenshaw7', 'XRebellionUK', 'LloydsBank']",[],https://twitter.com/Marytcusick2/status/1659676207388958724,,en,Twitter for iPhone,False,False,,DouglasRenshaw7,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DouglasRenshaw7', 'name': 'Douglas Renshaw', 'id': 1320467057901735938, 'id_str': '1320467057901735938', 'indices': [0, 16]}, {'screen_name': 'XRebellionUK', 'name': 'Extinction Rebellion UK 🌍', 'id': 1122858502874124288, 'id_str': '1122858502874124288', 'indices': [17, 30]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [31, 42]}], 'urls': []}",False,False,False
"RT @money_rebellion: BREAKING: @LloydsBank AGM disrupted 💕

“In 2022, Lloyds did what few other global banks did and increased  its financi…",2023-05-19,21:35:48,XR East of England 🌿,XR_EoE,,1747,2433,https://t.co/xm65vW8Fuw,http://pbs.twimg.com/profile_images/1250036490232565761/tWVuN4q2_normal.jpg,https://pbs.twimg.com/profile_banners/1250029208732123142/1619907912,2020-04-14,156,0,0,[],"['money_rebellion', 'LloydsBank']",[],https://twitter.com/XR_EoE/status/1659674237974585346,,en,Twitter for iPhone,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [31, 42]}], 'urls': []}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,21:18:01,Colours4climate,colours4climate,,27,21,,http://pbs.twimg.com/profile_images/1465314560915685384/rGkqO4VU_normal.jpg,,2021-06-30,142,0,0,[],['money_rebellion'],[],https://twitter.com/colours4climate/status/1659669764921339904,,en,Twitter for Android,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,21:03:29,Jo Lewis,JoLewis74541164,,131,507,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2019-01-21,142,0,0,[],['money_rebellion'],[],https://twitter.com/JoLewis74541164/status/1659666107005911045,,en,Twitter for iPad,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,20:58:04,Paul Middleton,middletonlord,Nottingham,829,445,,http://pbs.twimg.com/profile_images/1276167164488224769/VSfeiHPE_normal.jpg,https://pbs.twimg.com/profile_banners/403076895/1593115618,2011-11-02,142,0,0,[],['money_rebellion'],[],https://twitter.com/middletonlord/status/1659664741239848962,,en,Twitter Web App,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
@LloydsBank look at your age mates https://t.co/KSr81PepqC,2023-05-19,20:57:32,Ritz,RitzSampson,"Hackney, London",2762,1869,,http://pbs.twimg.com/profile_images/1543673229692338177/GHwJ4YiT_normal.jpg,https://pbs.twimg.com/profile_banners/98899107/1533142907,2009-12-23,0,0,0,[],['LloydsBank'],[],https://twitter.com/RitzSampson/status/1659664608964009985,,en,Twitter for iPhone,False,True,Nationwide giving me £100 just for banking with them. Look at GOD!,LloydsBank,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/KSr81PepqC', 'expanded_url': 'https://twitter.com/boofdaddi/status/1659531690191073282', 'display_url': 'twitter.com/boofdaddi/stat…', 'indices': [35, 58]}]}",False,False,False
"RT @money_rebellion: BREAKING: @LloydsBank AGM disrupted 💕

“In 2022, Lloyds did what few other global banks did and increased  its financi…",2023-05-19,20:50:41,Linda Hurrell,LindaHurrell,,1618,407,,http://pbs.twimg.com/profile_images/760017229899567104/PbjgRT_X_normal.jpg,https://pbs.twimg.com/profile_banners/377240272/1470088279,2011-09-21,156,0,0,[],"['money_rebellion', 'LloydsBank']",[],https://twitter.com/LindaHurrell/status/1659662884689813509,,en,Twitter Web App,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [31, 42]}], 'urls': []}",False,False,False
