Tweet,Date,Time,Twitter Handle
@nostalgiaoty Hi Charley. Please do not use abusive or offensive language whilst using our social media service. You can read more about this in section 14 of our terms of use which can be found here: https://t.co/Zh0H3BwZJ2. ^Tony,2023-05-19,19:35:49,LloydsBank
@constanzahola Hi Constanza. I'm sorry to hear this. My colleagues will answer as soon as they're available. ^Brian https://t.co/QCh3PtycmG,2023-05-19,17:36:47,LloydsBank
@HigherEdRob Hi Rob. Thanks for reaching out to us. Please send your request by email to AffairP@lloydsbanking.com (our Charity &amp; Sponsorship team). They’ll be able to let you know if this is something that they can help with. ^Paul,2023-05-19,13:45:22,LloydsBank
"@leah_michelle87 have signposted that you can send another message if you'd like to. 
If you send another message with your concerns then an adviser will be able to pick up the chat again from where it ended. You can type 'adviser' to bypass the virtual assistant. 2/2 ^Lara",2023-05-19,13:11:58,LloydsBank
"@leah_michelle87 Hi Leah, I'm Lara. I'm very sorry for the disappointment in the way the chat ended. I can see that my colleague has suggested calling our specialist Customer Financial Assistance team for help and support with your query as they're best placed to help; however, they 1/2",2023-05-19,13:11:35,LloydsBank
"Be wary of ticket offers on social media. To keep your money safe from scams always pay with your credit or debit card. Buy from trusted venues, promoters or well known ticket sites. https://t.co/PrbRqBghjo",2023-05-19,13:00:00,LloydsBank
"@haiminh Hi, I'm Lara. We don't have access to accounts here to look into this I'm afraid, but if you can please call again on 0345 3 000 000 a colleague will certainly be able to help you further. Advisers are available 8am-8pm daily.",2023-05-19,11:44:41,LloydsBank
@GavinMichaelHa2 please press * then 2 on your phone keypad. You'll then be asked if you want to take part in a short survey after the call (press 1 for 'yes' or 2 for 'no') and then you'll be placed in a queue to speak with an adviser. I hope this will help. 2/2 ^Lara,2023-05-19,10:42:12,LloydsBank
"@GavinMichaelHa2 Hi Gavin, I'm Lara. I'm very sorry to hear you've experienced these issues. We don't have access to accounts/policies here, so I'm afraid we'd be unable to help you directly via Twitter. Can you please call again and say 'Make a claim' and when asked for your policy number 1/2",2023-05-19,10:41:10,LloydsBank
"@Madhatt41585343 Hi, I'm Colin S. Thanks for getting in touch as this is genuine text from us. Just to check, where is Lloyds Bank mentioned? https://t.co/QCh3PtycmG",2023-05-19,07:42:44,LloydsBank
"Many business owners feel they need help with their mental health but don’t know where to start. In partnership with @MentalHealthUK, we have developed resources and guidance to help build mental resilience when faced with struggles or setbacks: https://t.co/yonxlQh27u https://t.co/toZGkwRTii",2023-05-19,07:00:00,LloydsBank
"@Scotth128086 Hi, I'm Margaret Mary. Thanks for getting in touch. I'm sorry to hear you have not received the goods you have paid for, when did you make the payment, did the company advise when you should have received the tickets?",2023-05-18,22:48:18,LloydsBank
