AudienceID,LotameID,y,Name,Type,fullVisitorId,browser,operatingSystem,operatingSystemVersion,isMobile,mobileDeviceBranding,mobileDeviceModel,mobileInputSelector,mobileDeviceInfo,mobileDeviceMarketingName,screenResolution,language,continent,subContinent,country,region,city,sec,sub_sec,pageTitle,url,onPageTime,nextTime,user_active_days,total_visit_counts,total_unique_session,total_time_spent,time_spent_per_session,timeOnPage,GAClientId,cookie_id
818744,cbb561a1af5a40eb684d55a8c0b2047a,0,"RMG - 1PD - Declared - HHI - <RM1,500	",HHI,10531342589549778032,Chrome,Android,8.1.0,True,Xiaomi,Redmi 6A,touchscreen,Xiaomi Redmi 6A,(not set),360x720,en-us,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/video-nak-marah-tapi-kena-sabar-anak-diam-rupanya-masuk-sangkar-kucing,,"[VIDEO] Nak Marah Tapi Kena Sabar, Anak Diam Rupanya Masuk Sangkar Kucing",https://ohbulan.com/video-nak-marah-tapi-kena-sabar-anak-diam-rupanya-masuk-sangkar-kucing,0,91472,5,43,5,735.0,154.0,91472,amp-35vZcqfyySaxus6_748cgw,IhHSD5tP1NnqeA1g
818744,cbb561a1af5a40eb684d55a8c0b2047a,0,"RMG - 1PD - Declared - HHI - <RM1,500	",HHI,10531342589549778032,Chrome,Android,8.1.0,True,Xiaomi,Redmi 6A,touchscreen,Xiaomi Redmi 6A,(not set),360x720,en-us,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/suami-jual-isteri-peroleh-hampir-rm3k-sebulan-saya-sakit-hati-tengok-dia-lakukan-hubungan-intim-tapi,,"Suami Jual Isteri, Peroleh Hampir RM3k Sebulan – 'Saya Sakit Hati Tengok Dia Lakukan Hubungan Intim Tapi..'",https://ohbulan.com/suami-jual-isteri-peroleh-hampir-rm3k-sebulan-saya-sakit-hati-tengok-dia-lakukan-hubungan-intim-tapi,91472,103015,5,43,5,735.0,154.0,11543,amp-35vZcqfyySaxus6_748cgw,IhHSD5tP1NnqeA1g
818744,cbb561a1af5a40eb684d55a8c0b2047a,0,"RMG - 1PD - Declared - HHI - <RM1,500	",HHI,10531342589549778032,Chrome,Android,8.1.0,True,Xiaomi,Redmi 6A,touchscreen,Xiaomi Redmi 6A,(not set),360x720,en-us,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/suami-jual-isteri-peroleh-hampir-rm3k-sebulan-saya-sakit-hati-tengok-dia-lakukan-hubungan-intim-tapi,,"Suami Jual Isteri, Peroleh Hampir RM3k Sebulan – 'Saya Sakit Hati Tengok Dia Lakukan Hubungan Intim Tapi..'",https://ohbulan.com/suami-jual-isteri-peroleh-hampir-rm3k-sebulan-saya-sakit-hati-tengok-dia-lakukan-hubungan-intim-tapi,103015,143773,5,43,5,735.0,154.0,40758,amp-35vZcqfyySaxus6_748cgw,IhHSD5tP1NnqeA1g
809023,e74bb87a1abb30abf105f2900a65e842,5000,RMG - 1PD - Declared - HHI - RM1.5K - RM5K	,HHI,1158781765718776901,Chrome,Windows,7,False,,,,(not set),,1600x900,en-us,Asia,Southeast Asia,Malaysia,Selangor,Batu Caves,/rakyat-malaysia-maut-dibunuh-di-australia-didakwa-jadi-penjaga-1000-pokok-ganja-bagi-kumpulan-jenayah,,"Rakyat Malaysia Maut 'Dibunuh' Di Australia, Didakwa Jadi Penjaga 1,000 Pokok Ganja Bagi Kumpulan Jenayah",https://ohbulan.com/rakyat-malaysia-maut-dibunuh-di-australia-didakwa-jadi-penjaga-1000-pokok-ganja-bagi-kumpulan-jenayah,0,126729,5,237,8,1385.0,217.0,126729,269799904.1574837317,7Zr54t-YOVCMSUWw
809023,e74bb87a1abb30abf105f2900a65e842,5000,RMG - 1PD - Declared - HHI - RM1.5K - RM5K	,HHI,1158781765718776901,Chrome,Windows,7,False,,,,(not set),,1600x900,en-us,Asia,Southeast Asia,Malaysia,Selangor,Batu Caves,/datuk-74-tahun-maut-selepas-tunai-hajat-di-rumah-pelacuran-polis-jumpa-ubat-kuat,,"Datuk 74 Tahun Maut Selepas Tunai 'Hajat' Di Rumah Pelacuran, Polis Jumpa Ubat Kuat",https://ohbulan.com/datuk-74-tahun-maut-selepas-tunai-hajat-di-rumah-pelacuran-polis-jumpa-ubat-kuat,126729,207157,5,237,8,1385.0,217.0,80428,269799904.1574837317,7Zr54t-YOVCMSUWw
809023,e74bb87a1abb30abf105f2900a65e842,5000,RMG - 1PD - Declared - HHI - RM1.5K - RM5K	,HHI,1158781765718776901,Chrome,Windows,7,False,,,,(not set),,1600x900,en-us,Asia,Southeast Asia,Malaysia,Selangor,Batu Caves,/berlaku-pendarahan-tisu-koyak-keputusan-bedah-siasat-kali-kedua-sahkan-luka-paha-kanan-tangmo-terjadi-sebelum-kematian,,"Berlaku Pendarahan & Tisu Koyak, Keputusan Awal Bedah Siasat Kedua Sahkan Luka Paha Kanan Tangmo Terjadi Sebelum Kematian",https://ohbulan.com/berlaku-pendarahan-tisu-koyak-keputusan-bedah-siasat-kali-kedua-sahkan-luka-paha-kanan-tangmo-terjadi-sebelum-kematian,44441,142871,5,237,8,1385.0,203.0,98430,269799904.1574837317,7Zr54t-YOVCMSUWw
818744,78667affe553713e0aed6c72e0eadc9f,0,"RMG - 1PD - Declared - HHI - <RM1,500	",HHI,1316008586946977000,Chrome,Android,9,True,Samsung,SM-J730G,touchscreen,Samsung SM-J730G Galaxy J7 (2017),Galaxy J7 (2017),412x732,en-gb,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/news/,/nation/,Rising costs push up buffet prices,https://www.nst.com.my/news/nation/2022/04/787223/rising-costs-push-buffet-prices,3368,169647,7,413,8,1970.0,170.0,166279,306407126.1515625704,gya7xSV0gWTO5EBb
818744,78667affe553713e0aed6c72e0eadc9f,0,"RMG - 1PD - Declared - HHI - <RM1,500	",HHI,1316008586946977000,Chrome,Android,9,True,Samsung,SM-J730G,touchscreen,Samsung SM-J730G Galaxy J7 (2017),Galaxy J7 (2017),412x732,en-gb,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/news/,/nation/,Speculations over Tengku Zafrul's 'resignation' answered,https://www.nst.com.my/news/nation/2022/03/782746/speculations-over-tengku-zafruls-resignation-answered,4053,671784,7,413,8,1970.0,672.0,667731,306407126.1515625704,gya7xSV0gWTO5EBb
809024,debc5687c4f166fba9ae0f460f4484a,10000,RMG - 1PD - Declared - HHI - RM5k - 10k+	,HHI,1345556031535805740,Chrome,Android,9,True,Asus,X00TD,touchscreen,Asus X00TD Zenfone Max Pro (M1) ZB601KL,Zenfone Max Pro (M1) ZB601KL,360x720,en-gb,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/video-bekas-juara-hero-remaja-teruskan-karier-demi-impian-ibu-tercinta,,[VIDEO] Bekas Juara Hero Remaja Teruskan Karier Demi Impian Ibu Tercinta,https://ohbulan.com/video-bekas-juara-hero-remaja-teruskan-karier-demi-impian-ibu-tercinta,0,29241,10,1123,12,1768.0,34.0,29241,amp-jVimM0G9J9SlML2eQ53vcC_UUDM3RO4vtxYz2L7jrewuTtmZh1DNqghBK6aA4rav,vznB7rLMv2lasMz5
809024,debc5687c4f166fba9ae0f460f4484a,10000,RMG - 1PD - Declared - HHI - RM5k - 10k+	,HHI,1345556031535805740,Chrome,Android,9,True,Asus,X00TD,touchscreen,Asus X00TD Zenfone Max Pro (M1) ZB601KL,Zenfone Max Pro (M1) ZB601KL,360x720,en-gb,Asia,Southeast Asia,Malaysia,Selangor,Ampang Jaya,/video-aedy-ashraf-buat-kejutan-lamar-amelia-henderson-depan-peminat-2-tahun-saya-tunggu-awak,,"[VIDEO] Aedy Ashraf Buat Kejutan, Lamar Amelia Henderson Depan Peminat – '2 Tahun Saya Tunggu Awak'",https://ohbulan.com/video-aedy-ashraf-buat-kejutan-lamar-amelia-henderson-depan-peminat-2-tahun-saya-tunggu-awak,0,74156,10,1123,12,1768.0,131.0,74156,amp-jVimM0G9J9SlML2eQ53vcC_UUDM3RO4vtxYz2L7jrewuTtmZh1DNqghBK6aA4rav,vznB7rLMv2lasMz5
